id_player,team,position,captain,height,country_,market_value,age
1017392,Everton,M,0,183.0,ARG,14600000.0,23
935543,Everton,M,0,183.0,ENG,26000000.0,26
1174472,Everton,M,0,178.0,ENG,28000000.0,19
1064082,Everton,M,0,191.0,DEU,14700000.0,23
1627560,Everton,M,0,185.0,ENG,1200000.0,19
1020141,Everton,D,0,189.0,SCO,16300000.0,24
979563,Everton,D,0,195.0,ENG,46000000.0,23
788134,Crystal Palace,G,0,188.0,ENG,29000000.0,28
879674,Crystal Palace,D,0,192.0,FRA,37000000.0,25
988275,Crystal Palace,M,0,174.0,ENG,23000000.0,26
877994,Crystal Palace,D,1,182.0,ENG,52000000.0,25
848276,Crystal Palace,F,0,192.0,FRA,38000000.0,28
1109771,Crystal Palace,M,0,182.0,ENG,63000000.0,22
931844,Crystal Palace,D,0,188.0,USA,23000000.0,25
984624,Crystal Palace,M,0,172.0,ESP,32000000.0,23
870360,Crystal Palace,M,0,183.0,COL,28000000.0,29
845286,Crystal Palace,F,0,185.0,SEN,33000000.0,27
794338,Crystal Palace,M,0,184.0,JPN,12400000.0,29
193554,Crystal Palace,M,0,185.0,ENG,5500000.0,30
355796,Crystal Palace,M,0,179.0,COL,7400000.0,31
1084311,Crystal Palace,M,0,184.0,NIR,7700000.0,22
43215,Crystal Palace,D,0,175.0,ENG,465000.0,34
1471671,Crystal Palace,D,0,188.0,FRA,18100000.0,19
858194,Crystal Palace,F,0,175.0,ENG,16500000.0,26
1884145,Crystal Palace,F,0,190.0,NGA,16500000.0,22
1064218,Crystal Palace,D,0,186.0,MAR,11600000.0,22
1438837,Crystal Palace,M,0,178.0,ENG,10900000.0,20
826134,Chelsea,D,0,190.0,ENG,37000000.0,26
974505,Chelsea,M,0,177.0,ARG,82000000.0,25
920546,Chelsea,G,0,197.0,ESP,19900000.0,28
879349,Chelsea,M,0,172.0,PRT,58000000.0,25
975079,Chelsea,F,0,182.0,BRA,60000000.0,24
794939,Chelsea,D,0,175.0,ESP,52000000.0,27
885908,Chelsea,D,1,180.0,ENG,53000000.0,26
